at;content;cleaning;case_folding;hasil_normalisasi;tokenize;stopword removal;steming_data;stemming;Score;Sentiment
2025-07-23 09:28:18;mentok di pilih tema, di klik manapun gabisa lanjut, gimana ini bikin aplikasi ga niat banget sekelas PEMERINTAH;mentok di pilih tema di klik manapun gabisa lanjut gimana ini bikin aplikasi ga niat banget sekelas PEMERINTAH;mentok di pilih tema di klik manapun gabisa lanjut gimana ini bikin aplikasi ga niat banget sekelas pemerintah;mentok di pilih tema di klik manapun tidak bisa lanjut bagaimana ini bikin aplikasi tidak niat banget sekelas pemerintah;['mentok', 'di', 'pilih', 'tema', 'di', 'klik', 'manapun', 'tidak', 'bisa', 'lanjut', 'bagaimana', 'ini', 'bikin', 'aplikasi', 'tidak', 'niat', 'banget', 'sekelas', 'pemerintah'];['mentok', 'pilih', 'tema', 'klik', 'manapun', 'bikin', 'aplikasi', 'niat', 'banget', 'sekelas', 'pemerintah'];mentok pilih tema klik mana bikin aplikasi niat banget kelas perintah;mentok pilih tema klik mana bikin aplikasi niat banget kelas perintah;-13.0;Negatif
2025-07-23 09:26:31;aplikasi tidak bisa,tema sudah dipilih tidak bisa;aplikasi tidak bisatema sudah dipilih tidak bisa;aplikasi tidak bisatema sudah dipilih tidak bisa;aplikasi tidak bisatema sudah dipilih tidak bisa;['aplikasi', 'tidak', 'bisatema', 'sudah', 'dipilih', 'tidak', 'bisa'];['aplikasi', 'bisatema', 'dipilih'];aplikasi bisatema pilih;aplikasi bisatema pilih;-6.0;Negatif
2025-07-23 09:24:42;"aplikasi jelek, sekelas punya pemerintahan suka EROR, niat bikin ga sih, disuruh pilih pilih ""TEMA"" saya udah pilih TEMA nya tapi pemberitahuan aplikasi nya ""anda belum memilih tema"" ga guna, cuma formalitas nih dibikin aplikasi";aplikasi jelek sekelas punya pemerintahan suka EROR niat bikin ga sih disuruh pilih pilih TEMA saya udah pilih TEMA nya tapi pemberitahuan aplikasi nya anda belum memilih tema ga guna cuma formalitas nih dibikin aplikasi;aplikasi jelek sekelas punya pemerintahan suka eror niat bikin ga sih disuruh pilih pilih tema saya udah pilih tema nya tapi pemberitahuan aplikasi nya anda belum memilih tema ga guna cuma formalitas nih dibikin aplikasi;aplikasi jelek sekelas punya pemerintahan suka eror niat bikin tidak sih disuruh pilih pilih tema saya sudah pilih tema ya tapi pemberitahuan aplikasi ya anda belum memilih tema tidak guna cuma formalitas nih dibikin aplikasi;['aplikasi', 'jelek', 'sekelas', 'punya', 'pemerintahan', 'suka', 'eror', 'niat', 'bikin', 'tidak', 'sih', 'disuruh', 'pilih', 'pilih', 'tema', 'saya', 'sudah', 'pilih', 'tema', 'ya', 'tapi', 'pemberitahuan', 'aplikasi', 'ya', 'anda', 'belum', 'memilih', 'tema', 'tidak', 'guna', 'cuma', 'formalitas', 'nih', 'dibikin', 'aplikasi'];['aplikasi', 'jelek', 'sekelas', 'pemerintahan', 'suka', 'eror', 'niat', 'bikin', 'sih', 'disuruh', 'pilih', 'pilih', 'tema', 'pilih', 'tema', 'ya', 'pemberitahuan', 'aplikasi', 'ya', 'memilih', 'tema', 'formalitas', 'nih', 'dibikin', 'aplikasi'];aplikasi jelek kelas perintah suka eror niat bikin sih suruh pilih pilih tema pilih tema ya pemberitahuan aplikasi ya pilih tema formalitas nih bikin aplikasi;aplikasi jelek kelas perintah suka eror niat bikin sih suruh pilih pilih tema pilih tema ya pemberitahuan aplikasi ya pilih tema formalitas nih bikin aplikasi;-26.0;Negatif
2025-07-23 09:20:22;"ini gmn baru mau buka aplikasi lagi, buat download sertifikat vaksin yg ketiga, tapi malah stuck di suruh pilih tema. mana di pencet2 gk bisa, tulisan dri sistem "" pilih tema terlebih dulu "" . udh dipilih tetep aja gk bisa2";ini gmn baru mau buka aplikasi lagi buat download sertifikat vaksin yg ketiga tapi malah stuck di suruh pilih tema mana di pencet gk bisa tulisan dri sistem pilih tema terlebih dulu udh dipilih tetep aja gk bisa;ini gmn baru mau buka aplikasi lagi buat download sertifikat vaksin yg ketiga tapi malah stuck di suruh pilih tema mana di pencet gk bisa tulisan dri sistem pilih tema terlebih dulu udh dipilih tetep aja gk bisa;ini bagaimana baru mau buka aplikasi lagi buat download sertifikat vaksin yang ketiga tapi malah stuck di suruh pilih tema mana di pencet tidak bisa tulisan dari sistem pilih tema terlebih dulu sudah dipilih tetap saja tidak bisa;['ini', 'bagaimana', 'baru', 'mau', 'buka', 'aplikasi', 'lagi', 'buat', 'download', 'sertifikat', 'vaksin', 'yang', 'ketiga', 'tapi', 'malah', 'stuck', 'di', 'suruh', 'pilih', 'tema', 'mana', 'di', 'pencet', 'tidak', 'bisa', 'tulisan', 'dari', 'sistem', 'pilih', 'tema', 'terlebih', 'dulu', 'sudah', 'dipilih', 'tetap', 'saja', 'tidak', 'bisa'];['buka', 'aplikasi', 'download', 'sertifikat', 'vaksin', 'ketiga', 'stuck', 'suruh', 'pilih', 'tema', 'pencet', 'tulisan', 'sistem', 'pilih', 'tema', 'dipilih'];buka aplikasi download sertifikat vaksin tiga stuck suruh pilih tema pencet tulis sistem pilih tema pilih;buka aplikasi download sertifikat vaksin tiga stuck suruh pilih tema pencet tulis sistem pilih tema pilih;-15.0;Negatif
2025-07-23 09:16:39;aplikasi tidak bisa di buka , saat memilih tema malah gk bisa;aplikasi tidak bisa di buka saat memilih tema malah gk bisa;aplikasi tidak bisa di buka saat memilih tema malah gk bisa;aplikasi tidak bisa di buka saat memilih tema malah tidak bisa;['aplikasi', 'tidak', 'bisa', 'di', 'buka', 'saat', 'memilih', 'tema', 'malah', 'tidak', 'bisa'];['aplikasi', 'buka', 'memilih', 'tema'];aplikasi buka pilih tema;aplikasi buka pilih tema;-3.0;Negatif
2025-07-23 09:15:28;"not a helpfull apk, baru buka di suruh pilih tema padahal udah ku pencet tapi malah muncul ""tema belum di pilih"" nggak guna banget";not a helpfull apk baru buka di suruh pilih tema padahal udah ku pencet tapi malah muncul tema belum di pilih nggak guna banget;not a helpfull apk baru buka di suruh pilih tema padahal udah ku pencet tapi malah muncul tema belum di pilih nggak guna banget;not a helpfull apk baru buka di suruh pilih tema padahal sudah ku pencet tapi malah muncul tema belum di pilih tidak guna banget;['not', 'a', 'helpfull', 'apk', 'baru', 'buka', 'di', 'suruh', 'pilih', 'tema', 'padahal', 'sudah', 'ku', 'pencet', 'tapi', 'malah', 'muncul', 'tema', 'belum', 'di', 'pilih', 'tidak', 'guna', 'banget'];['not', 'a', 'helpfull', 'apk', 'buka', 'suruh', 'pilih', 'tema', 'ku', 'pencet', 'muncul', 'tema', 'pilih', 'banget'];not a helpfull apk buka suruh pilih tema ku pencet muncul tema pilih banget;not a helpfull apk buka suruh pilih tema ku pencet muncul tema pilih banget;-3.0;Negatif
2025-07-23 09:14:19;jelek bgt baru buka lagi gabisa masuk, padahal udah milih tema tapi tulisannya anda belum memilih tema;jelek bgt baru buka lagi gabisa masuk padahal udah milih tema tapi tulisannya anda belum memilih tema;jelek bgt baru buka lagi gabisa masuk padahal udah milih tema tapi tulisannya anda belum memilih tema;jelek banget baru buka lagi tidak bisa masuk padahal sudah memilih tema tapi tulisannya anda belum memilih tema;['jelek', 'banget', 'baru', 'buka', 'lagi', 'tidak', 'bisa', 'masuk', 'padahal', 'sudah', 'memilih', 'tema', 'tapi', 'tulisannya', 'anda', 'belum', 'memilih', 'tema'];['jelek', 'banget', 'buka', 'masuk', 'memilih', 'tema', 'tulisannya', 'memilih', 'tema'];jelek banget buka masuk pilih tema tulis pilih tema;jelek banget buka masuk pilih tema tulis pilih tema;-8.0;Negatif
2025-07-23 09:13:46;gabisa masuk njir otp gak fungsi developer nya kacau;gabisa masuk njir otp gak fungsi developer nya kacau;gabisa masuk njir otp gak fungsi developer nya kacau;tidak bisa masuk anjir otp tidak fungsi developer ya kacau;['tidak', 'bisa', 'masuk', 'anjir', 'otp', 'tidak', 'fungsi', 'developer', 'ya', 'kacau'];['masuk', 'anjir', 'otp', 'fungsi', 'developer', 'ya', 'kacau'];masuk anjir otp fungsi developer ya kacau;masuk anjir otp fungsi developer ya kacau;2.0;Positif
2025-07-23 08:53:40;bug pilihan tema, tidak bisa dilewati;bug pilihan tema tidak bisa dilewati;bug pilihan tema tidak bisa dilewati;bug pilihan tema tidak bisa dilewati;['bug', 'pilihan', 'tema', 'tidak', 'bisa', 'dilewati'];['bug', 'pilihan', 'tema', 'dilewati'];bug pilih tema lewat;bug pilih tema lewat;0.0;Netral
2025-07-23 08:50:46;Bug n Bug. gabutuh Bug hunter emang apl nya gagal launch;Bug n Bug gabutuh Bug hunter emang apl nya gagal launch;bug n bug gabutuh bug hunter emang apl nya gagal launch;bug n bug gabutuh bug hunter memang apl ya gagal launch;['bug', 'n', 'bug', 'gabutuh', 'bug', 'hunter', 'memang', 'apl', 'ya', 'gagal', 'launch'];['bug', 'n', 'bug', 'gabutuh', 'bug', 'hunter', 'apl', 'ya', 'gagal', 'launch'];bug n bug gabutuh bug hunter apl ya gagal launch;bug n bug gabutuh bug hunter apl ya gagal launch;-3.0;Negatif
2025-07-23 08:45:41;Stuck di pilih tema;Stuck di pilih tema;stuck di pilih tema;stuck di pilih tema;['stuck', 'di', 'pilih', 'tema'];['stuck', 'pilih', 'tema'];stuck pilih tema;stuck pilih tema;-2.0;Negatif
2025-07-23 08:42:43;aplikasi gak bisa di pake. gak di benerin;aplikasi gak bisa di pake gak di benerin;aplikasi gak bisa di pake gak di benerin;aplikasi tidak bisa di pakai tidak di benerin;['aplikasi', 'tidak', 'bisa', 'di', 'pakai', 'tidak', 'di', 'benerin'];['aplikasi', 'pakai', 'benerin'];aplikasi pakai benerin;aplikasi pakai benerin;-4.0;Negatif
2025-07-23 08:36:28;gembel bgt aplikasinya. sinyal bagus tetep enga bs masuk, pdhl ada tulisannya enga bs masuk krn blm ganti tema, udh diganti pdhl.;gembel bgt aplikasinya sinyal bagus tetep enga bs masuk pdhl ada tulisannya enga bs masuk krn blm ganti tema udh diganti pdhl;gembel bgt aplikasinya sinyal bagus tetep enga bs masuk pdhl ada tulisannya enga bs masuk krn blm ganti tema udh diganti pdhl;gembel banget aplikasinya sinyal bagus tetap enga bisa masuk padahal ada tulisannya enga bisa masuk karena belum ganti tema sudah diganti padahal;['gembel', 'banget', 'aplikasinya', 'sinyal', 'bagus', 'tetap', 'enga', 'bisa', 'masuk', 'padahal', 'ada', 'tulisannya', 'enga', 'bisa', 'masuk', 'karena', 'belum', 'ganti', 'tema', 'sudah', 'diganti', 'padahal'];['gembel', 'banget', 'aplikasinya', 'sinyal', 'bagus', 'enga', 'masuk', 'tulisannya', 'enga', 'masuk', 'ganti', 'tema', 'diganti'];gembel banget aplikasi sinyal bagus enga masuk tulis enga masuk ganti tema ganti;gembel banget aplikasi sinyal bagus enga masuk tulis enga masuk ganti tema ganti;-6.0;Negatif
2025-07-23 08:27:56;ngebug nih, masa ngestuck di pilih tema;ngebug nih masa ngestuck di pilih tema;ngebug nih masa ngestuck di pilih tema;ngebug nih masa ngestuck di pilih tema;['ngebug', 'nih', 'masa', 'ngestuck', 'di', 'pilih', 'tema'];['ngebug', 'nih', 'ngestuck', 'pilih', 'tema'];ngebug nih ngestuck pilih tema;ngebug nih ngestuck pilih tema;-2.0;Negatif
2025-07-23 08:25:31;kenapa stuck di pilih tema , udah pilih tp notifnya blm pilih tema. mau lanjut malah ga stuck. saya sudah lapor di pengaduan. blm ada reply lebih lanjut, ditunggu.;kenapa stuck di pilih tema udah pilih tp notifnya blm pilih tema mau lanjut malah ga stuck saya sudah lapor di pengaduan blm ada reply lebih lanjut ditunggu;kenapa stuck di pilih tema udah pilih tp notifnya blm pilih tema mau lanjut malah ga stuck saya sudah lapor di pengaduan blm ada reply lebih lanjut ditunggu;kenapa stuck di pilih tema sudah pilih tapi notifnya belum pilih tema mau lanjut malah tidak stuck saya sudah lapor di pengaduan belum ada reply lebih lanjut ditunggu;['kenapa', 'stuck', 'di', 'pilih', 'tema', 'sudah', 'pilih', 'tapi', 'notifnya', 'belum', 'pilih', 'tema', 'mau', 'lanjut', 'malah', 'tidak', 'stuck', 'saya', 'sudah', 'lapor', 'di', 'pengaduan', 'belum', 'ada', 'reply', 'lebih', 'lanjut', 'ditunggu'];['stuck', 'pilih', 'tema', 'pilih', 'notifnya', 'pilih', 'tema', 'stuck', 'lapor', 'pengaduan', 'reply', 'ditunggu'];stuck pilih tema pilih notifnya pilih tema stuck lapor adu reply tunggu;stuck pilih tema pilih notifnya pilih tema stuck lapor adu reply tunggu;-4.0;Negatif
2025-07-23 08:20:31;stak di pemilihan tema...gak maju2.;stak di pemilihan temagak maju;stak di pemilihan temagak maju;stak di pemilihan temagak maju;['stak', 'di', 'pemilihan', 'temagak', 'maju'];['stak', 'pemilihan', 'temagak', 'maju'];stak pilih tagak maju;stak pilih tagak maju;-2.0;Negatif
2025-07-23 08:14:40;kenapa gabisa lewati tema ya??;kenapa gabisa lewati tema ya;kenapa gabisa lewati tema ya;kenapa tidak bisa lewati tema ya;['kenapa', 'tidak', 'bisa', 'lewati', 'tema', 'ya'];['lewati', 'tema', 'ya'];lewat tema ya;lewat tema ya;6.0;Positif
2025-07-23 08:03:34;kenapa tidak bisa memelih tema s'lalu gagal tidak bisa masuk;kenapa tidak bisa memelih tema slalu gagal tidak bisa masuk;kenapa tidak bisa memelih tema slalu gagal tidak bisa masuk;kenapa tidak bisa memelih tema selalu gagal tidak bisa masuk;['kenapa', 'tidak', 'bisa', 'memelih', 'tema', 'selalu', 'gagal', 'tidak', 'bisa', 'masuk'];['memelih', 'tema', 'gagal', 'masuk'];memelih tema gagal masuk;memelih tema gagal masuk;-7.0;Negatif
2025-07-23 07:54:26;bikin apk gak niat ... gak jelas login eror, gak tau masuknya gmn, orng udh milih tema di kata belum pilih padahal ini megang data pribadi kita jadi ragu sama keamanan data kita . mohon deperjelas lagi kalau buat apk dan jangan di korup mulu;bikin apk gak niat gak jelas login eror gak tau masuknya gmn orng udh milih tema di kata belum pilih padahal ini megang data pribadi kita jadi ragu sama keamanan data kita mohon deperjelas lagi kalau buat apk dan jangan di korup mulu;bikin apk gak niat gak jelas login eror gak tau masuknya gmn orng udh milih tema di kata belum pilih padahal ini megang data pribadi kita jadi ragu sama keamanan data kita mohon deperjelas lagi kalau buat apk dan jangan di korup mulu;bikin apk tidak niat tidak jelas login eror tidak tau masuknya bagaimana orang sudah memilih tema di kata belum pilih padahal ini memegang data pribadi kita jadi ragu sama keamanan data kita mohon deperjelas lagi kalau buat apk dan jangan di korup mulu;['bikin', 'apk', 'tidak', 'niat', 'tidak', 'jelas', 'login', 'eror', 'tidak', 'tau', 'masuknya', 'bagaimana', 'orang', 'sudah', 'memilih', 'tema', 'di', 'kata', 'belum', 'pilih', 'padahal', 'ini', 'memegang', 'data', 'pribadi', 'kita', 'jadi', 'ragu', 'sama', 'keamanan', 'data', 'kita', 'mohon', 'deperjelas', 'lagi', 'kalau', 'buat', 'apk', 'dan', 'jangan', 'di', 'korup', 'mulu'];['bikin', 'apk', 'niat', 'login', 'eror', 'tau', 'masuknya', 'orang', 'memilih', 'tema', 'pilih', 'memegang', 'data', 'pribadi', 'ragu', 'keamanan', 'data', 'mohon', 'deperjelas', 'apk', 'korup', 'mulu'];bikin apk niat login eror tau masuk orang pilih tema pilih pegang data pribadi ragu aman data mohon deperjelas apk korup mulu;bikin apk niat login eror tau masuk orang pilih tema pilih pegang data pribadi ragu aman data mohon deperjelas apk korup mulu;-27.0;Negatif
2025-07-23 07:45:34;gajelass gimana sih ini mau masuk akun udh pilih tema tetep aja gabisa masukk aneh pliss benerin ni akun saya mau cek kartu vaksin COVID-19 buat kebutuhan kerja jangan lambat bgt penangananny kebiasaan bgt pemerintah indo mah gini muluu Herman bgtt deh guaa;gajelass gimana sih ini mau masuk akun udh pilih tema tetep aja gabisa masukk aneh pliss benerin ni akun saya mau cek kartu vaksin COVID buat kebutuhan kerja jangan lambat bgt penangananny kebiasaan bgt pemerintah indo mah gini muluu Herman bgtt deh guaa;gajelass gimana sih ini mau masuk akun udh pilih tema tetep aja gabisa masukk aneh pliss benerin ni akun saya mau cek kartu vaksin covid buat kebutuhan kerja jangan lambat bgt penangananny kebiasaan bgt pemerintah indo mah gini muluu herman bgtt deh guaa;gajelass bagaimana sih ini mau masuk akun sudah pilih tema tetap saja tidak bisa masukk aneh pliss benerin nih akun saya mau cek kartu vaksin covid buat kebutuhan kerja jangan lambat banget penangananny kebiasaan banget pemerintah indonesia mah begini muluu herman banget deh gua;['gajelass', 'bagaimana', 'sih', 'ini', 'mau', 'masuk', 'akun', 'sudah', 'pilih', 'tema', 'tetap', 'saja', 'tidak', 'bisa', 'masukk', 'aneh', 'pliss', 'benerin', 'nih', 'akun', 'saya', 'mau', 'cek', 'kartu', 'vaksin', 'covid', 'buat', 'kebutuhan', 'kerja', 'jangan', 'lambat', 'banget', 'penangananny', 'kebiasaan', 'banget', 'pemerintah', 'indonesia', 'mah', 'begini', 'muluu', 'herman', 'banget', 'deh', 'gua'];['gajelass', 'sih', 'masuk', 'akun', 'pilih', 'tema', 'masukk', 'aneh', 'pliss', 'benerin', 'nih', 'akun', 'cek', 'kartu', 'vaksin', 'covid', 'kebutuhan', 'kerja', 'lambat', 'banget', 'penangananny', 'kebiasaan', 'banget', 'pemerintah', 'indonesia', 'mah', 'muluu', 'herman', 'banget', 'deh', 'gua'];gajelass sih masuk akun pilih tema masukk aneh pliss benerin nih akun cek kartu vaksin covid butuh kerja lambat banget penangananny biasa banget perintah indonesia mah muluu herman banget deh gua;gajelass sih masuk akun pilih tema masukk aneh pliss benerin nih akun cek kartu vaksin covid butuh kerja lambat banget penangananny biasa banget perintah indonesia mah muluu herman banget deh gua;-5.0;Negatif
2025-07-23 07:44:15;parah, setelah login disuruh pilih tema, tema sudah dipilih, eh ada tulisan anda belum pilih tema diacak pilih tema apapun jawaban tetap sama. klik lewati, muncul lagi anda belum pilih tema. kenapa sih app dari pemerintah ampas banget ini;parah setelah login disuruh pilih tema tema sudah dipilih eh ada tulisan anda belum pilih tema diacak pilih tema apapun jawaban tetap sama klik lewati muncul lagi anda belum pilih tema kenapa sih app dari pemerintah ampas banget ini;parah setelah login disuruh pilih tema tema sudah dipilih eh ada tulisan anda belum pilih tema diacak pilih tema apapun jawaban tetap sama klik lewati muncul lagi anda belum pilih tema kenapa sih app dari pemerintah ampas banget ini;parah setelah login disuruh pilih tema tema sudah dipilih eh ada tulisan anda belum pilih tema diacak pilih tema apapun jawaban tetap sama klik lewati muncul lagi anda belum pilih tema kenapa sih app dari pemerintah ampas banget ini;['parah', 'setelah', 'login', 'disuruh', 'pilih', 'tema', 'tema', 'sudah', 'dipilih', 'eh', 'ada', 'tulisan', 'anda', 'belum', 'pilih', 'tema', 'diacak', 'pilih', 'tema', 'apapun', 'jawaban', 'tetap', 'sama', 'klik', 'lewati', 'muncul', 'lagi', 'anda', 'belum', 'pilih', 'tema', 'kenapa', 'sih', 'app', 'dari', 'pemerintah', 'ampas', 'banget', 'ini'];['parah', 'login', 'disuruh', 'pilih', 'tema', 'tema', 'dipilih', 'eh', 'tulisan', 'pilih', 'tema', 'diacak', 'pilih', 'tema', 'apapun', 'klik', 'lewati', 'muncul', 'pilih', 'tema', 'sih', 'app', 'pemerintah', 'ampas', 'banget'];parah login suruh pilih tema tema pilih eh tulis pilih tema acak pilih tema apa klik lewat muncul pilih tema sih app perintah ampas banget;parah login suruh pilih tema tema pilih eh tulis pilih tema acak pilih tema apa klik lewat muncul pilih tema sih app perintah ampas banget;-24.0;Negatif
2025-07-23 07:43:35;knp aplikasi ini sdh berapa kali d update tdk bisa terbuka;knp aplikasi ini sdh berapa kali d update tdk bisa terbuka;knp aplikasi ini sdh berapa kali d update tdk bisa terbuka;kenapa aplikasi ini sudah berapa kali di update tidak bisa terbuka;['kenapa', 'aplikasi', 'ini', 'sudah', 'berapa', 'kali', 'di', 'update', 'tidak', 'bisa', 'terbuka'];['aplikasi', 'kali', 'update', 'terbuka'];aplikasi kali update buka;aplikasi kali update buka;-1.0;Negatif
2025-07-23 07:42:52;aplikasi cacad di suruh pilih tema,sudah klik pilih malah gak bisa;aplikasi cacad di suruh pilih temasudah klik pilih malah gak bisa;aplikasi cacad di suruh pilih temasudah klik pilih malah gak bisa;aplikasi cacad di suruh pilih temasudah klik pilih malah tidak bisa;['aplikasi', 'cacad', 'di', 'suruh', 'pilih', 'temasudah', 'klik', 'pilih', 'malah', 'tidak', 'bisa'];['aplikasi', 'cacad', 'suruh', 'pilih', 'temasudah', 'klik', 'pilih'];aplikasi cacad suruh pilih temasudah klik pilih;aplikasi cacad suruh pilih temasudah klik pilih;-10.0;Negatif
2025-07-23 07:29:40;KENAPA SYSTEM TEMA NYA ERROR COK tolong perbaiki woy karyawan;KENAPA SYSTEM TEMA NYA ERROR COK tolong perbaiki woy karyawan;kenapa system tema nya error cok tolong perbaiki woy karyawan;kenapa system tema ya error cok tolong perbaiki woy karyawan;['kenapa', 'system', 'tema', 'ya', 'error', 'cok', 'tolong', 'perbaiki', 'woy', 'karyawan'];['system', 'tema', 'ya', 'error', 'cok', 'tolong', 'perbaiki', 'woy', 'karyawan'];system tema ya error cok tolong baik woy karyawan;system tema ya error cok tolong baik woy karyawan;8.0;Positif
2025-07-23 07:17:50;bermanfaat;bermanfaat;bermanfaat;bermanfaat;['bermanfaat'];['bermanfaat'];manfaat;manfaat;5.0;Positif
2025-07-23 07:17:31;saat buka aplikasi, tdk bisa memilih tema tetap gagal masuk, klik NANTI pun tidak mau teralihkan.;saat buka aplikasi tdk bisa memilih tema tetap gagal masuk klik NANTI pun tidak mau teralihkan;saat buka aplikasi tdk bisa memilih tema tetap gagal masuk klik nanti pun tidak mau teralihkan;saat buka aplikasi tidak bisa memilih tema tetap gagal masuk klik nanti pun tidak mau teralihkan;['saat', 'buka', 'aplikasi', 'tidak', 'bisa', 'memilih', 'tema', 'tetap', 'gagal', 'masuk', 'klik', 'nanti', 'pun', 'tidak', 'mau', 'teralihkan'];['buka', 'aplikasi', 'memilih', 'tema', 'gagal', 'masuk', 'klik', 'teralihkan'];buka aplikasi pilih tema gagal masuk klik alih;buka aplikasi pilih tema gagal masuk klik alih;-10.0;Negatif
2025-07-23 07:11:30;gak bisa masuk, selalu anda belum memilih tema, udah ganti andro dan ios hasilnya sama..;gak bisa masuk selalu anda belum memilih tema udah ganti andro dan ios hasilnya sama;gak bisa masuk selalu anda belum memilih tema udah ganti andro dan ios hasilnya sama;tidak bisa masuk selalu anda belum memilih tema sudah ganti andro dan ios hasilnya sama;['tidak', 'bisa', 'masuk', 'selalu', 'anda', 'belum', 'memilih', 'tema', 'sudah', 'ganti', 'andro', 'dan', 'ios', 'hasilnya', 'sama'];['masuk', 'memilih', 'tema', 'ganti', 'andro', 'ios', 'hasilnya'];masuk pilih tema ganti andro ios hasil;masuk pilih tema ganti andro ios hasil;1.0;Positif
2025-07-23 07:02:19;aplikasi purba, masuk aja ga bisa;aplikasi purba masuk aja ga bisa;aplikasi purba masuk aja ga bisa;aplikasi purba masuk saja tidak bisa;['aplikasi', 'purba', 'masuk', 'saja', 'tidak', 'bisa'];['aplikasi', 'purba', 'masuk'];aplikasi purba masuk;aplikasi purba masuk;-10.0;Negatif
2025-07-23 06:52:16;habis update mlh g bisa log in;habis update mlh g bisa log in;habis update mlh g bisa log in;habis update malah tidak bisa log ini;['habis', 'update', 'malah', 'tidak', 'bisa', 'log', 'ini'];['habis', 'update', 'log'];habis update log;habis update log;3.0;Positif
2025-07-23 06:41:13;aplikasi stuck di pemilihan tema ,trus hrus gimna,cuma mau cek vaksin buat kerja susahnya;aplikasi stuck di pemilihan tema trus hrus gimnacuma mau cek vaksin buat kerja susahnya;aplikasi stuck di pemilihan tema trus hrus gimnacuma mau cek vaksin buat kerja susahnya;aplikasi stuck di pemilihan tema terus harus gimnacuma mau cek vaksin buat kerja susahnya;['aplikasi', 'stuck', 'di', 'pemilihan', 'tema', 'terus', 'harus', 'gimnacuma', 'mau', 'cek', 'vaksin', 'buat', 'kerja', 'susahnya'];['aplikasi', 'stuck', 'pemilihan', 'tema', 'gimnacuma', 'cek', 'vaksin', 'kerja', 'susahnya'];aplikasi stuck pilih tema gimnacuma cek vaksin kerja susah;aplikasi stuck pilih tema gimnacuma cek vaksin kerja susah;-11.0;Negatif
2025-07-23 06:27:27;gajelas, loading terus;gajelas loading terus;gajelas loading terus;tidak jelas loading terus;['tidak', 'jelas', 'loading', 'terus'];['loading'];loading;loading;0.0;Netral
2025-07-23 06:22:58;SAMPAHHH!!!!;SAMPAHH;sampahh;sampahh;['sampahh'];['sampahh'];sampahh;sampahh;0.0;Netral
2025-07-23 06:18:52;"gak bisa masuk. disuruh pilih tema, tema sudah di pilih tapi katanya ""anda belum memilih tema"". kalau pilih ""lewati"" tetap juga keluar notif ""anda belum memilih tema"". serius dikit lah bikin app. orang IT nya kalau gak mampu mundur aja. shame on you";gak bisa masuk disuruh pilih tema tema sudah di pilih tapi katanya anda belum memilih tema kalau pilih lewati tetap juga keluar notif anda belum memilih tema serius dikit lah bikin app orang IT nya kalau gak mampu mundur aja shame on you;gak bisa masuk disuruh pilih tema tema sudah di pilih tapi katanya anda belum memilih tema kalau pilih lewati tetap juga keluar notif anda belum memilih tema serius dikit lah bikin app orang it nya kalau gak mampu mundur aja shame on you;tidak bisa masuk disuruh pilih tema tema sudah di pilih tapi katanya anda belum memilih tema kalau pilih lewati tetap juga keluar notif anda belum memilih tema serius dikit lah bikin app orang itu ya kalau tidak mampu mundur saja shame on you;['tidak', 'bisa', 'masuk', 'disuruh', 'pilih', 'tema', 'tema', 'sudah', 'di', 'pilih', 'tapi', 'katanya', 'anda', 'belum', 'memilih', 'tema', 'kalau', 'pilih', 'lewati', 'tetap', 'juga', 'keluar', 'notif', 'anda', 'belum', 'memilih', 'tema', 'serius', 'dikit', 'lah', 'bikin', 'app', 'orang', 'itu', 'ya', 'kalau', 'tidak', 'mampu', 'mundur', 'saja', 'shame', 'on', 'you'];['masuk', 'disuruh', 'pilih', 'tema', 'tema', 'pilih', 'memilih', 'tema', 'pilih', 'lewati', 'notif', 'memilih', 'tema', 'serius', 'dikit', 'bikin', 'app', 'orang', 'ya', 'mundur', 'shame', 'on', 'you'];masuk suruh pilih tema tema pilih pilih tema pilih lewat notif pilih tema serius dikit bikin app orang ya mundur shame on you;masuk suruh pilih tema tema pilih pilih tema pilih lewat notif pilih tema serius dikit bikin app orang ya mundur shame on you;-18.0;Negatif
